Gene	Gene name	Brain region	TPM	pTPM	nTPM
ENSG00000002745	WNT16	choroid plexus	0.7	0.9	1.7
ENSG00000002745	WNT16	hippocampal formation	0.6	0.9	0.6
ENSG00000002745	WNT16	hypothalamus	0.7	1.0	0.7
ENSG00000002745	WNT16	medulla oblongata	1.0	1.4	1.0
ENSG00000002745	WNT16	midbrain	1.0	1.6	1.0
ENSG00000002745	WNT16	pons	0.5	0.7	0.5
ENSG00000002745	WNT16	spinal cord	1.0	1.5	1.4
ENSG00000002745	WNT16	thalamus	0.6	0.9	0.5
ENSG00000002745	WNT16	white matter	0.8	1.4	1.0
ENSG00000002746	HECW1	amygdala	17.2	24.3	30.0
ENSG00000002746	HECW1	basal ganglia	38.5	57.4	42.4
ENSG00000002746	HECW1	cerebellum	28.5	47.9	33.5
ENSG00000002746	HECW1	cerebral cortex	49.8	74.4	83.3
ENSG00000002746	HECW1	choroid plexus	3.6	4.8	9.1
ENSG00000002746	HECW1	hippocampal formation	14.6	21.2	23.1
ENSG00000002746	HECW1	hypothalamus	26.7	38.7	22.3
ENSG00000002746	HECW1	medulla oblongata	21.3	30.1	27.7
ENSG00000002746	HECW1	midbrain	29.3	40.6	28.0
ENSG00000002746	HECW1	pons	30.8	44.0	38.7
ENSG00000002746	HECW1	spinal cord	11.5	16.7	18.8
ENSG00000002746	HECW1	thalamus	30.3	42.8	38.3
ENSG00000002746	HECW1	white matter	29.0	47.6	55.3
ENSG00000002822	MAD1L1	amygdala	11.7	15.9	19.4
ENSG00000002822	MAD1L1	basal ganglia	18.3	25.8	23.7
ENSG00000002822	MAD1L1	cerebellum	13.2	21.9	16.1
ENSG00000002822	MAD1L1	cerebral cortex	20.5	30.2	23.6
ENSG00000002822	MAD1L1	choroid plexus	10.1	13.2	17.4
ENSG00000002822	MAD1L1	hippocampal formation	13.4	19.4	17.7
ENSG00000002822	MAD1L1	hypothalamus	15.9	22.0	20.6
ENSG00000002822	MAD1L1	medulla oblongata	18.2	28.1	22.9
ENSG00000002822	MAD1L1	midbrain	15.2	21.5	20.7
ENSG00000002822	MAD1L1	pons	16.6	24.4	22.7
ENSG00000002822	MAD1L1	spinal cord	14.7	21.3	18.3
ENSG00000002822	MAD1L1	thalamus	15.4	21.8	21.1
ENSG00000002822	MAD1L1	white matter	19.9	32.4	25.7
ENSG00000002834	LASP1	amygdala	56.7	78.3	93.6
ENSG00000002834	LASP1	basal ganglia	78.0	116.2	82.7
ENSG00000002834	LASP1	cerebellum	49.1	69.1	61.0
ENSG00000002834	LASP1	cerebral cortex	68.2	104.1	82.8
ENSG00000002834	LASP1	choroid plexus	35.0	46.4	67.5
ENSG00000002834	LASP1	hippocampal formation	52.9	76.9	80.3
ENSG00000002834	LASP1	hypothalamus	82.3	121.5	94.1
ENSG00000002834	LASP1	medulla oblongata	56.3	80.0	83.6
ENSG00000002834	LASP1	midbrain	73.9	102.9	101.0
ENSG00000002834	LASP1	pons	64.8	92.8	90.8
ENSG00000002834	LASP1	spinal cord	52.5	75.9	77.9
ENSG00000002834	LASP1	thalamus	70.8	97.4	109.6
ENSG00000002834	LASP1	white matter	59.4	86.4	71.2
ENSG00000002919	SNX11	amygdala	9.8	13.1	15.7
ENSG00000002919	SNX11	basal ganglia	13.8	20.3	17.8
ENSG00000002919	SNX11	cerebellum	13.4	19.0	16.1
ENSG00000002919	SNX11	cerebral cortex	13.3	19.6	17.2
ENSG00000002919	SNX11	choroid plexus	7.0	9.3	12.4
ENSG00000002919	SNX11	hippocampal formation	12.8	18.9	16.0
ENSG00000002919	SNX11	hypothalamus	15.6	23.0	16.6
ENSG00000002919	SNX11	medulla oblongata	18.6	28.5	20.3
ENSG00000002919	SNX11	midbrain	14.6	20.8	18.0
ENSG00000002919	SNX11	pons	14.7	21.4	17.6
ENSG00000002919	SNX11	spinal cord	14.1	20.3	20.3
ENSG00000002919	SNX11	thalamus	13.2	19.2	19.8
ENSG00000002919	SNX11	white matter	16.5	27.1	20.7
ENSG00000002933	TMEM176A	amygdala	25.9	34.6	27.7
ENSG00000002933	TMEM176A	basal ganglia	31.9	45.5	30.2
ENSG00000002933	TMEM176A	cerebellum	30.3	42.6	33.5
ENSG00000002933	TMEM176A	cerebral cortex	28.9	41.9	23.8
ENSG00000002933	TMEM176A	choroid plexus	10.9	14.6	12.2
ENSG00000002933	TMEM176A	hippocampal formation	20.4	28.5	21.3
ENSG00000002933	TMEM176A	hypothalamus	36.2	52.9	49.4
ENSG00000002933	TMEM176A	medulla oblongata	74.4	112.7	64.6
ENSG00000002933	TMEM176A	midbrain	39.7	57.2	49.5
ENSG00000002933	TMEM176A	pons	39.1	59.2	36.0
ENSG00000002933	TMEM176A	spinal cord	46.0	66.1	60.5
ENSG00000002933	TMEM176A	thalamus	28.8	40.4	35.4
ENSG00000002933	TMEM176A	white matter	60.7	90.2	62.7
ENSG00000003056	M6PR	amygdala	37.3	52.6	55.0
ENSG00000003056	M6PR	basal ganglia	62.9	93.2	62.4
ENSG00000003056	M6PR	cerebellum	52.6	74.1	58.4
ENSG00000003056	M6PR	cerebral cortex	61.4	91.2	62.8
ENSG00000003056	M6PR	choroid plexus	29.8	39.1	55.1
ENSG00000003056	M6PR	hippocampal formation	57.1	85.0	63.8
ENSG00000003056	M6PR	hypothalamus	74.3	109.7	71.5
ENSG00000003056	M6PR	medulla oblongata	61.2	92.6	69.2
ENSG00000003056	M6PR	midbrain	62.7	90.6	64.1
ENSG00000003056	M6PR	pons	62.2	90.4	71.0
ENSG00000003056	M6PR	spinal cord	46.3	67.2	65.5
ENSG00000003056	M6PR	thalamus	58.1	80.1	83.0
ENSG00000003056	M6PR	white matter	62.2	100.2	92.0
ENSG00000003096	KLHL13	amygdala	5.4	7.8	9.6
ENSG00000003096	KLHL13	basal ganglia	18.8	27.7	22.8
ENSG00000003096	KLHL13	cerebellum	4.9	8.1	6.3
ENSG00000003096	KLHL13	cerebral cortex	5.3	7.9	8.3
ENSG00000003096	KLHL13	choroid plexus	4.7	6.3	12.0
ENSG00000003096	KLHL13	hippocampal formation	5.0	7.4	7.2
ENSG00000003096	KLHL13	hypothalamus	21.6	31.9	13.1
ENSG00000003096	KLHL13	medulla oblongata	8.4	12.1	10.1
