cardiac_neuro_cava_random:MEF2C|ENSG00000081189.16|EH38E3647940_rev_tile1-1
cardiac_neuro_cava_random:MEF2C|ENSG00000081189.16|EH38E2389456_rev_tile1-1
cardiac_neuro_cava_random:MEF2C|ENSG00000081189.16|EH38E2389480_rev_tile1-1
cardiac_neuro_cava_random:PHACTR1|ENSG00000112137.19|EH38E2447050_fwd_tile1-1
cardiac_neuro_cava_random:PHACTR1|ENSG00000112137.19|EH38E3691579_fwd_tile1-1
cardiac_neuro_cava_random:PHACTR1|ENSG00000112137.19|EH38E2447174_fwd_tile1-1
cardiac_neuro_cava_random:PPP2R5D|ENSG00000112640.16|EH38E2468201,PTK7|ENSG00000112655.16|EH38E2468201_fwd_tile1-1
cardiac_neuro_cava_random:PTK7|ENSG00000112655.16|EH38E3708819_fwd_tile1-1
cardiac_neuro_cava_random:PTK7|ENSG00000112655.16|EH38E2468312_fwd_tile1-1
cardiac_neuro_cava_random:TFAP2B|ENSG00000008196.13|EH38E3711964_fwd_tile1-1
cardiac_neuro_cava_random:PHF3|ENSG00000118482.12|EH38E2476535_fwd_tile1-1
cardiac_neuro_cava_random:RIMS1|ENSG00000079841.20|EH38E3716242_fwd_tile1-1
cardiac_neuro_cava_random:GJA1|ENSG00000152661.9|EH38E3729741_fwd_tile1-1
cardiac_neuro_cava_random:TAB2|ENSG00000055208.20|EH38E3739947_fwd_tile1-1
cardiac_neuro_cava_random:ARID1B|ENSG00000049618.25|EH38E3743005_fwd_tile1-1
cardiac_neuro_cava_random:ARID1B|ENSG00000049618.25|EH38E2518397_fwd_tile1-1
cardiac_neuro_cava_random:ARID1B|ENSG00000049618.25|EH38E2518681_fwd_tile1-1
cardiac_neuro_cava_random:AUTS2|ENSG00000158321.19|EH38E3778051_fwd_tile1-1
cardiac_neuro_cava_random:AUTS2|ENSG00000158321.19|EH38E3778092_fwd_tile1-1
cardiac_neuro_cava_random:AUTS2|ENSG00000158321.19|EH38E2561431_fwd_tile1-1
cardiac_neuro_cava_random:AUTS2|ENSG00000158321.19|EH38E3778142_fwd_tile1-1
cardiac_neuro_cava_random:AUTS2|ENSG00000158321.19|EH38E3778188_fwd_tile1-1
cardiac_neuro_cava_random:AUTS2|ENSG00000158321.19|EH38E2561716_fwd_tile1-1
cardiac_neuro_cava_random:AUTS2|ENSG00000158321.19|EH38E2561818_fwd_tile1-1
cardiac_neuro_cava_random:AUTS2|ENSG00000158321.19|EH38E3778352_fwd_tile1-1
cardiac_neuro_cava_random:AUTS2|ENSG00000158321.19|EH38E2561922_fwd_tile1-1
cardiac_neuro_cava_random:AUTS2|ENSG00000158321.19|EH38E3778458_fwd_tile1-1
cardiac_neuro_cava_random:ELN|ENSG00000049540.19|EH38E3779837_fwd_tile1-1
cardiac_neuro_cava_random:GNAI1|ENSG00000127955.17|EH38E2566300_fwd_tile1-1
cardiac_neuro_cava_random:GNAI1|ENSG00000127955.17|EH38E2566315_fwd_tile1-1
cardiac_neuro_cava_random:ADAM22|ENSG00000008277.15|EH38E2569803_fwd_tile1-1
cardiac_neuro_cava_random:GATAD1|ENSG00000157259.8|EH38E3785717_fwd_tile1-1
cardiac_neuro_cava_random:CUX1|ENSG00000257923.12|EH38E3790234_fwd_tile1-1
cardiac_neuro_cava_random:CUX1|ENSG00000257923.12|EH38E3790500_fwd_tile1-1
cardiac_neuro_cava_random:CUX1|ENSG00000257923.12|EH38E3790546_fwd_tile1-1
cardiac_neuro_cava_random:CUX1|ENSG00000257923.12|EH38E3790599_fwd_tile1-1
cardiac_neuro_cava_random:KMT2E|ENSG00000005483.23|EH38E2578210_fwd_tile1-1
cardiac_neuro_cava_random:KMT2E|ENSG00000005483.23|EH38E2578265_fwd_tile1-1
cardiac_neuro_cava_random:KMT2E|ENSG00000005483.23|EH38E3791576_fwd_tile1-1
cardiac_neuro_cava_random:NOS3|ENSG00000164867.11|EH38E3808384_fwd_tile1-1
cardiac_neuro_cava_random:NOS3|ENSG00000164867.11|EH38E3808400_fwd_tile1-1
cardiac_neuro_cava_random:TBX20|ENSG00000164532.11|EH38E3767202_rev_tile1-1
cardiac_neuro_cava_random:YWHAG|ENSG00000170027.7|EH38E2564776_rev_tile1-1
cardiac_neuro_cava_random:SEMA3E|ENSG00000170381.15|EH38E3783569_rev_tile1-1
cardiac_neuro_cava_random:ACTL6B|ENSG00000077080.10|EH38E3789195,GIGYF1|ENSG00000146830.11|EH38E3789195_rev_tile1-1
cardiac_neuro_cava_random:RELN|ENSG00000189056.15|EH38E2577934_rev_tile1-1
cardiac_neuro_cava_random:BRAF|ENSG00000157764.14|EH38E3804603_rev_tile1-1
cardiac_neuro_cava_random:PRKAG2|ENSG00000106617.15|EH38E2601659_rev_tile1-1
cardiac_neuro_cava_random:PRKAG2|ENSG00000106617.15|EH38E2601834_rev_tile1-1
cardiac_neuro_cava_random:PRKAG2|ENSG00000106617.15|EH38E3809225_rev_tile1-1
cardiac_neuro_cava_random:KMT2C|ENSG00000055609.21|EH38E3809490_rev_tile1-1
cardiac_neuro_cava_random:XRCC2|ENSG00000196584.4|EH38E2602374_rev_tile1-1
cardiac_neuro_cava_random:DPYSL2|ENSG00000092964.18|EH38E3824416_fwd_tile1-1
cardiac_neuro_cava_random:DPYSL2|ENSG00000092964.18|EH38E3824423_fwd_tile1-1
cardiac_neuro_cava_random:DPYSL2|ENSG00000092964.18|EH38E3824487_fwd_tile1-1
cardiac_neuro_cava_random:DPYSL2|ENSG00000092964.18|EH38E3824514_fwd_tile1-1
cardiac_neuro_cava_random:DPYSL2|ENSG00000092964.18|EH38E3824549_fwd_tile1-1
cardiac_neuro_cava_random:CHD7|ENSG00000171316.14|EH38E3836318_fwd_tile1-1
cardiac_neuro_cava_random:CHD7|ENSG00000171316.14|EH38E3836360_fwd_tile1-1
cardiac_neuro_cava_random:VPS13B|ENSG00000132549.20|EH38E2651356_fwd_tile1-1
cardiac_neuro_cava_random:VPS13B|ENSG00000132549.20|EH38E3847660_fwd_tile1-1
cardiac_neuro_cava_random:VPS13B|ENSG00000132549.20|EH38E3847748_fwd_tile1-1
cardiac_neuro_cava_random:OXR1|ENSG00000164830.19|EH38E2655573_fwd_tile1-1
cardiac_neuro_cava_random:SNAI2|ENSG00000019549.13|EH38E2629858_rev_tile1-1
